"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","页面网址","页面标题","采集时间"
"杰***3","PLUS会员","star5","好评，非常喜欢的苹果笔记本，一直超爱的，今天终于入手了，喜欢他的外观，再加上长达12小时的续航时间～大爱","2017-10-16 17:46","120","34",,,"https://item.jd.com/5225346.html#none","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:28.4606600"
"l***n","PLUS会员","star5","观望过无数品牌办公本，本来首选新苏菲可格不菲。水果pro也格高高在上，不就多个那啥，显示，尸+并（涉及所谓敏感词，京东无耻地屏蔽）。第一次用水果产品，总体还是满意的。电话客服解决问题的效率很高，专业到位。最担心和微软平台办公神器的兼容性，经测试两平台office文件完美兼容。办公神器能兼容，心里大石头落下。还有个大问题，公司OA系统只能在微软IE8浏览器下运行，当初忽略了这是个大问题，大问题。目前正寻找决方案：装windows？装虚拟机？那买mb的意义何在？想用winebottler安装，貌似也不兼容这个系统，一安装windows软件就闪退报错。在此也求助各位果友，如何不装win系统也不用虚拟机还有什么方案能安装IE8浏览器，若能解决感激不尽！选择mac就得有所取舍，不指望像windows老基友，的那么庞大的用户群体，那么丰富的优秀软件供你挑选。入手这个纯粹为办公便携，颜值，仅此而已。说说缺点：电池不耐用。MS Office PPT连续奋战 4小时左右电池便耗尽。","2018-02-27 12:21","439","121",,,"https://item.jd.com/5225346.html#none","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:28.6302697"
"墨***点",,"star5","人生第一台苹果电脑，不错，熟悉几天很好，根本不用鼠标的。装了CAD，还有office，办公更方便！","2017-11-05 13:28","75","51",,,"https://item.jd.com/5225346.html#none","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:28.6691354"
"P***o","PLUS会员","star5","cpu是第五代酷睿i5处理器5350，各位考虑清楚性价比再买哈，总体来说使用体验和产品做工用料是很不错的，这点毋庸置疑。但是如果是极致性能要求就不要考虑这个了。我家有一台11年买的imac和多部iPhone用到现在依然很好，对水果家产品品质还是很认可的。对了还有一点，air的屏幕是TN屏，色彩准确度和丰富性是不如imac那个ips的，不过毕竟定位低端，要求也不能太高。","2018-09-13 00:04","273","38",,,"https://item.jd.com/5225346.html#none","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:28.7050403"
"j***w",,"star5","双十一买的，百分百正品，自己摸索下载安装了wps for mac破解版，很好用。就是有一个问题键盘的按键挺松的，不知道大家是不是都一样？自己另外买了蓝牙键盘和鼠标。11号拍的14号到的，在双十一高峰期，物流表现赞?今天一天都在使用，电池电量还有百分之六十五，电池很赞！","2017-11-16 01:04","92","39",,,"https://item.jd.com/5225346.html#none","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:28.7393674"
"9***生",,"star5","还不错呦，这电脑不错，开机速度超快，关机速度也一样，最主要的还是w10系统，有智能导引，教如何操作，如何装系统和软件，非常给力！外观上也还不错，要是是金色的，就更完美了，总之用了一段时间，整体感觉挺好的，没有令我失望！一直支持这个品牌的电子产品，特别电脑和手机，用过后，感觉都挺好！希望你做得越来越好，把这个品牌打得更响亮些，快递也超给力，给了我很大惊喜，竟然白天下午下单，第二天中午就到了，真是惊喜，还有客服态度也很好，希望一直保持下去……","2018-05-04 09:17","39","20",,,"https://item.jd.com/5225346.html#none","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:28.7732767"
"北海雨巷",,"star5","不愧是京东快递，速度很快两天就到了。付了尾款之后焦急等待，第一次买这么贵的东西（学生党）拿到货，小哥服务很好，详细介绍了后面的工作，然后，拿到寝室迫不及待的拆开，确定原装未拆，拆开包装，外观特别棒，很喜欢，也去实体店看过很多次。而且这次在京东买省了一笔，激活设置ID，一系列工作做完，便开始下软件啥的，应用市场里东西很少，都是平常的应用软件，大型游戏啥的都没有，建议喜欢外游戏的慎重考虑，我不玩游戏，所有对我来说很不错了，很喜欢。不喜勿喷，希望对你有帮助","2017-11-04 16:21","213","35",,,"https://item.jd.com/5225346.html#none","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:28.8061883"
"b***s",,"star5","电脑很薄，对于刚从win系统转到苹果系统的我来说第一天简直不知道要怎么用，如果是日常办公需要大量用到word，Excel和ppt的人，我强烈建议大家还是用windows系统，因为苹果的office真的不好用，好多功能都没法用，限制条件比较多，Office还总是自己闪退，真的是头疼。另外，可能是跟系统内存有关，我这款电脑一看电视就很烫，所以基本上放弃了用电脑看视频的打算，哎。打五星仅针对包装盒和物流配送。","2018-06-08 19:29","137","31",,,"https://item.jd.com/5225346.html#none","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:28.8430905"
"王***豆","PLUS会员","star4","很好，mac简直爱不释手，真的是不用不知道，一用爱上。sf快递非常快，海关一天，通关后半夜到早上送来，满分物流。包装完美，非常给力。东西肯定全新，定制满血版。一打开，就有一股好闻的苹果味，赞\(≧▽≦)/。os x 系统完美，省电，流畅，好用，不错。接口稍微少了一点，不过问题不大，type c是未来。电量真的好评，甩win本几条街。就这样了。","2017-09-18 20:20","339","156",,,"https://item.jd.com/5225346.html#none","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:28.8730189"
"j***q",,"star5","mac真真棒，一眼我就特别喜欢~屏幕很清楚的，桌面非常干净，键盘也超棒，晚上发光。最重要的是它的OSX UNIX 系统，哈哈~过段时间再追评","2017-09-18 23:32","53","16",,,"https://item.jd.com/5225346.html#none","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:35:28.9049251"
